OBJECTID,StateAbbr,CensusBlock,RES1I,RES2I,RES3AI,RES3BI,RES3CI,RES3DI,RES3EI,RES3FI,RES4I,RES5I,RES6I,COM1I,COM2I,COM3I,COM4I,COM5I,COM6I,COM7I,COM8I,COM9I,COM10I,IND1I,IND2I,IND3I,IND4I,IND5I,IND6I,AGR1I,REL1I,GOV1I,GOV2I,EDU1I,EDU2I
"6435125",VI,"780109701001001",7539.97962425131,0,328.518103380923,0,0,0,0,0,225.051379994482,0,0,0,0,0,0,0,0,0,1653.45356249104,0,0,0,0,0,0,0,0,0,168.301449015971,0,0,0,0
"6435126",VI,"780109701001002",946.934692148898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435127",VI,"780109701001003",1731.33279301624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435128",VI,"780109701001004",1784.48561442093,0,298.099702058464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4793.73150412466,0,0,0,0
"6435129",VI,"780109701001005",6565.16406287044,0,0,0,0,0,0,0,7786.28780542241,0,0,0,0,0,2040.28536058037,0,0,0,3144.08893889867,0,0,0,0,0,0,0,0,176.146785311621,0,0,0,0,0
"6435130",VI,"780109701001008",3925.86277239997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435131",VI,"780109701001009",14195.3586941963,0,719.38564792176,0,0,0,0,0,10096.8451426921,0,0,689.163565532517,0,0,1157.67359004516,0,0,0,29709.8704133013,0,0,156.516060808133,0,0,0,0,0,0,0,0,0,0,0
"6435132",VI,"780109701001010",2069.46316637489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435133",VI,"780109701001011",4790.08172550514,0,217.236644692257,232.643415584375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435134",VI,"780109701001012",2777.12129945774,0,341.191384057302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629.7828015832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435135",VI,"780109701001013",3666.80997477267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435136",VI,"780109701001015",1021.10762294615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435137",VI,"780109701001018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.072394592078,0,0,0,0,0,0,0,0,0,0,325.790923089682,0,0,0
"6435138",VI,"780109701001019",4388.25818383503,0,959.441545817456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435139",VI,"780109701001020",4423.23798133795,0,331.05143110461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.24971844537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435140",VI,"780109701001021",891.624531184303,0,1450.44731442714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435141",VI,"780109701001022",485.5871288476,0,307.226236999586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435142",VI,"780109701001023",542.335771398648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435143",VI,"780109701001024",3363.69814594232,0,476.555163995301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.989008011663,0,0,0,0,0
"6435144",VI,"780109701001025",849.077033563072,0,0,0,0,0,0,0,0,0,0,0,0,0,5454.03507857876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435145",VI,"780109701001026",1702.97480303007,0,0,0,0,0,0,0,532.185354951334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435146",VI,"780109701001027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.83314730779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435147",VI,"780109701001028",0,0,0,0,1624.01550693814,0,0,0,0,0,0,0,0,0,0,0,0,0,796.562177688094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435148",VI,"780109701001029",0,0,1724.53820089747,0,514.635594482177,0,0,0,0,0,0,0,0,0,285.177981423158,0,0,0,321.752255241724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435149",VI,"780109701001030",716.559730155421,0,0,0,0,0,0,0,157.226321671256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6435150",VI,"780109701001031",3324.65579140283,0,108.745362043736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
