ISO2 CODE,ISO3 CODE
KH,KHM
CH,CHE
NG,NGA
CZ,CZE
UZ,UZB
GF,GUF
DE,DEU
BH,BHR
MH,MHL
VE,VEN
RE,REU
GY,GUY
BI,BDI
KI,KIR
JO,JOR
AU,AUS
EH,ESH
GE,GEO
LU,LUX
JP,JPN
BO,BOL
D2,DE2
AL,ALB
ME,MNE
US,USA
BA,BIH
PG,PNG
LV,LVA
AG,ATG
AR,ARG
RO,ROU
PS,PSE
JM,JAM
MV,MDV
GW,GNB
MR,MRT
IR,IRN
GM,GMB
NC,NCL
KS,KOS
SD,SDN
NU,NIU
D3,DE3
BZ,BLZ
IT,ITA
FI,FIN
PY,PRY
AF,AFG
AE,ARE
PE,PER
CG,COG
HN,HND
VI,VIR
CK,COK
SL,SLE
M1,MY1
SE,SWE
PK,PAK
KY,CYM
MC,MCO
BS,BHS
E1,ET1
CO,COL
SV,SLV
PH,PHL
BN,BRN
BR,BRA
NO,NOR
GA,GAB
T2,TZ2
IQ,IRQ
SU,URS
DJ,DJI
PL,POL
SO,SOM
D1,DE1
GI,GIB
TW,TWN
CD,COD
MP,MNP
ET,ETH
AT,AUT
CN,CHN
SN,SEN
NF,NFK
KN,KNA
BT,BTN
PW,PLW
KZ,KAZ
BJ,BEN
AW,ABW
CS,SCG
DO,DOM
Y1,YE1
NL,NLD
TN,TUN
CY,CYP
M3,MY3
KP,PRK
LB,LBN
LR,LBR
AZ,AZE
ES,ESP
QA,QAT
OM,OMN
SK,SVK
CV,CPV
GB,GBR
SM,SMR
ER,ERI
GL,GRL
TM,TKM
KE,KEN
TJ,TJK
AI,AIA
FO,FRO
MG,MDG
LI,LIE
RU,RUS
VG,VGB
C1,CS1
SB,SLB
SZ,SWZ
WF,WLF
TH,THA
TL,TLS
BE,BEL
IS,ISL
BG,BGR
SS,SSD
TR,TUR
MW,MWI
GN,GIN
MY,MYS
SC,SYC
MO,MAC
UG,UGA
MA,MAR
BB,BRB
IE,IRL
CI,CIV
RW,RWA
TV,TUV
VU,VUT
ST,STP
TD,TCD
NZ,NZL
CA,CAN
KG,KGZ
JG,CHA
TT,TTO
GQ,GNQ
IN,IND
JE,JEY
MS,MSR
MN,MNG
HU,HUN
ID,IDN
BM,BMU
DM,DMA
NE,NER
FJ,FJI
CM,CMR
DK,DNK
FK,FLK
MD,MDA
GT,GTM
AO,AGO
VN,VNM
RS,SRB
KM,COM
GH,GHA
TZ,TZA
MQ,MTQ
EC,ECU
NI,NIC
CU,CUB
KW,KWT
PT,PRT
Y2,YE2
GR,GRC
SR,SUR
ZM,ZMB
AN,ANT
Y3,YU1
MM,MMR
GP,GLP
MX,MEX
MU,MUS
SA,SAU
LK,LKA
NR,NRU
MK,MKD
PF,PYF
EG,EGY
WS,WSM
BY,BLR
PA,PAN
HT,HTI
BD,BGD
MT,MLT
IL,ISR
LS,LSO
LA,LAO
BF,BFA
VC,VCT
PM,SPM
SI,SVN
T1,TZ1
UA,UKR
ZW,ZWE
SY,SYR
TO,TON
BW,BWA
TK,TKL
HK,HKG
SG,SGP
KR,KOR
ML,MLI
AS,ASM
LT,LTU
ZA,ZAF
SH,SHN
NA,NAM
AD,AND
NP,NPL
UY,URY
LC,LCA
YE,YEM
M2,MY2
IM,IMN
TC,TCA
LY,LBY
HR,HRV
TG,TGO
CF,CAF
DZ,DZA
GU,GUM
GD,GRD
FR,FRA
MZ,MOZ
EE,EST
CL,CHL
PR,PRI
CR,CRI
AM,ARM
GG,GGY
