Blockgroup,MeanValue
060816001001,5821117.116071428
060816001002,341484.3125
060816022003,1666925.15
060816023001,6693213.068569215
060816041011,752000
060816041012,568468.3831967213
060816042001,475814.39244186046
060816042003,438564.2748314315
060816044001,773166.6666666666
060816044002,711267.7204065187
060816044003,374455.0052083333
060816050001,3702991.0714285714
060816050002,443520
060816051001,584104.5581683168
060816051002,5559112.632116336
060816054001,443530.5
060816054002,657913.2510964912
060816054005,5586993.810546875
060816060001,1515635.4445754718
060816061001,615993.321484375
060816061002,654373.1146349009
060816061003,512600.0487060547
060816062001,605911.4516399794
060816062002,613140.6242378049
060816062003,755676.26171875
060816062004,525241.1732954546
060816063001,736174.8389721074
060816063003,1645258.8684895833
060816064001,341562.5
060816066001,443535.59375
060816066002,1566700
060816072002,443541.59375
060816075001,1006142.2614029624
060816076001,1212610.059112055
060816076002,653112.653286638
060816076003,762263.2147469008
060816076004,446671.8788950573
060816077011,653450.4683318126
060816077012,515407.37999487703
060816077013,539950.4070371536
060816077021,478422.6941537081
060816077022,474394.1112875289
060816078001,554024.1059830961
060816078002,506647.57347328245
060816079001,1216869.7340509794
060816079002,1381801.7796806768
060816079003,1779093.3502403847
060816080011,816672.7188846982
060816080012,2010863.9031862745
060816080021,644903.189411315
060816080022,605542.3794575826
060816080023,591005.1972594637
060816080041,2235744.7715850514
060816080042,664363.8066347598
060816080043,991790.8076105443
060816080044,2338432.278841944
060816080131,693529.4469597138
060816080132,672477.1829427084
060816080133,755916.9716372283
060816080231,721690.7016616315
060816080232,629770.5862577986
060816081001,611206.6433064089
060816082001,643675.7436490979
060816083001,650617.209230324
060816083002,798020.6397007043
060816084001,1129140.59375
060816084002,745893.9704615724
060816084003,1014025.1215356335
060816085011,479248.56891025644
060816085012,493262.70277321764
060816085013,452715.59719551285
060816085014,716534.5181934931
060816085021,669248.5826502732
060816086001,377584.84453781514
060816086002,829282.0691666667
060816086003,1157214.576171875
060816091001,1102120.649125
060816091002,3235201.7308189655
060816101001,512658.6807421875
060816102011,5034163.0771604935
060816102013,408529.10086805554
060816102014,1416430.6250813801
060816102021,3112233.717667079
060816103021,1378252.5914732802
060816103031,603275.2010442839
060816103032,669467.0610090649
060816103033,813775.5073100884
060816103034,764895.937866784
060816103041,593968.3117884251
060816103042,1123379.0224756007
060816103043,2014364.6207138405
060816104001,486339.6324332524
060816104002,376231.47667393024
060816105001,1587678.8382352942
060816105004,341500
060816116002,587474.0625
060816117001,272461.4699675325
060816117002,487902.07321068546
060816117003,431534.43104719766
060816117004,9495762.34188988
060816118001,1025443.8907251603
060816118002,341516.7916666667
060816119001,547371.150390625
060816119002,448443.703515625
060816119003,246139.3277041246
060816119004,252166.01656484962
060816119005,430916.8173076923
060816119006,496396.0856277533
060816120003,341535.40625
060816121001,252000
060816121003,5986921.29296875
060816121005,5117370.015625
060819843001,4195566.999320652
060855046011,1156332.2161458333
060855111001,7456110.75
